ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,0,0,22,0,-22
1,1,0,47,0,-47
2,0,0,91,0,-91
3,1,1,841,1240,399
4,1,1,118,1200,1082
5,0,0,98,0,-98
6,1,1,2440,1813,-627
7,1,0,14,0,-14
8,1,0,17,0,-17
9,0,0,89,0,-89
10,0,0,52,0,-52
11,1,0,4,0,-4
12,1,0,86,0,-86
13,0,0,14,0,-14
14,1,0,6,0,-6
15,0,0,24,0,-24
16,0,0,5,0,-5
17,1,0,171,0,-171
18,1,1,799,5391,4592
19,1,1,145,1874,1729
20,0,0,86,0,-86
21,1,1,641,1224,583
22,0,0,45,0,-45
23,0,0,52,0,-52
24,1,1,682,1382,700
25,0,0,55,0,-55
26,0,0,35,0,-35
27,0,0,63,0,-63
28,1,0,2,0,-2
29,0,0,67,0,-67
30,0,0,22,0,-22
31,0,0,112,0,-112
32,1,1,252,1370,1118
33,1,1,214,1263,1049
34,1,0,66,0,-66
35,1,1,998,1323,325
36,0,0,4,0,-4
37,0,0,1,0,-1
38,1,1,964,1902,938
39,0,0,157,0,-157
40,0,0,18,0,-18
41,1,1,337,1556,1219
42,1,1,689,1213,524
43,1,0,32,0,-32
44,1,0,31,0,-31
45,1,0,32,0,-32
46,0,0,3,0,-3
47,1,1,533,1662,1129
48,0,0,11,0,-11
49,1,0,292,0,-292
50,0,0,0,0,0
51,1,0,26,0,-26
52,1,1,226,1201,975
53,1,0,61,0,-61
54,1,1,681,1238,557
55,1,0,28,0,-28
56,0,0,14,0,-14
57,1,1,297,1508,1211
58,1,0,12,0,-12
59,0,0,56,0,-56
60,1,0,25,0,-25
61,0,0,38,0,-38
62,0,0,159,0,-159
63,0,0,77,0,-77
64,0,0,108,0,-108
65,0,0,162,0,-162
66,1,1,34,1642,1608
67,1,1,42,1255,1213
68,0,0,127,0,-127
69,1,0,22,0,-22
70,1,1,721,1985,1264
71,0,0,69,0,-69
72,0,0,8,0,-8
73,1,1,674,2479,1805
74,1,0,32,0,-32
75,0,0,15,0,-15
76,0,0,14,0,-14
77,0,0,77,0,-77
78,0,0,42,0,-42
79,1,0,19,0,-19
80,0,0,101,0,-101
81,0,0,7,0,-7
82,0,0,63,0,-63
83,1,1,151,1238,1087
84,0,0,1,0,-1
85,0,0,29,0,-29
86,1,0,77,0,-77
87,1,0,4,0,-4
88,1,1,76,1921,1845
89,1,0,25,0,-25
90,0,0,34,0,-34
91,1,1,608,1295,687
92,1,0,1,0,-1
93,1,0,106,0,-106
94,0,0,115,0,-115
95,1,0,130,0,-130
96,1,0,66,0,-66
97,1,1,977,1585,608
98,0,0,71,0,-71
99,1,0,1,0,-1
100,0,0,47,0,-47
101,1,0,10,0,-10
102,0,0,3,0,-3
103,1,1,119,1530,1411
104,0,0,127,0,-127
105,1,0,30,0,-30
106,0,0,30,0,-30
107,1,1,109,1638,1529
108,0,0,17,0,-17
109,1,0,10,0,-10
110,1,0,11,0,-11
111,1,0,9,0,-9
112,1,0,4,0,-4
113,0,0,154,0,-154
114,1,0,68,0,-68
115,1,1,291,1933,1642
116,0,0,33,0,-33
117,1,0,37,0,-37
118,0,0,13,0,-13
119,1,1,383,1320,937
120,1,0,8,0,-8
