ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
0,72,32665.252885925274,0.17772443540948263,0,47,0,0,-47
1,28,29744.410644193922,0.0380792212069831,1,540,9259,1592,10311
2,63,24203.75643589213,0.012485129202166408,1,426,5954,1414,6942
3,48,26189.366897447824,0.21876271257234406,1,113,54574,1896,56357
4,31,27921.879484605848,0.11284368067879456,1,251,7337,1339,8425
5,34,32618.62859556263,0.23223885821505358,1,384,10429,1394,11439
6,31,32977.15988873718,0.15635789392881982,0,51,0,0,-51
7,34,21935.52109356839,0.051826974287507634,1,339,15176,2128,16965
8,27,23709.69864168605,0.1539755953934996,0,53,0,0,-53
9,75,20751.91252796223,0.12382911882137035,1,125,7058,1955,8888
10,62,26728.638023609667,0.23130504557848067,1,210,8288,3884,11962
11,36,27773.8073933443,0.007478388407380756,1,525,6975,1472,7922
12,37,25561.917283770472,0.21409874643431348,1,979,5348,1587,5956
13,23,24412.94696505437,0.2964684821554793,0,26,0,0,-26
14,55,21774.63429460806,0.23652671819553617,0,32,0,0,-32
15,20,24224.63582303198,0.012150405441287334,1,222,12209,1553,13540
16,29,20615.48570124975,0.34337603970805675,1,432,8747,1621,9936
17,38,20455.813764010683,0.027924927988857255,0,34,0,0,-34
18,42,20298.201843194543,0.03586495113744009,1,373,11829,1484,12940
19,22,67043.8768840719,0.17187070177531547,1,1201,12634,1904,13337
20,30,23024.2936908318,0.03794651151540146,0,17,0,0,-17
21,41,20111.181128464857,0.20045938935295046,1,406,13755,4294,17643
22,20,26176.143998364085,0.0921984028522683,1,990,9912,1407,10329
23,60,23498.913241838567,0.07197302826168539,1,175,14443,1381,15649
24,45,50844.72229367541,0.037995883306281786,1,180,7029,1788,8637
25,19,28999.092797087287,0.08707945130800007,1,472,5322,3683,8533
26,30,31424.48377110288,0.10595088944139426,1,696,11590,1395,12289
27,20,35271.13549012647,0.1000024326325328,1,247,5810,2820,8383
28,43,22075.788188059898,0.20199313046264886,1,471,20885,1356,21770
29,21,21789.060312082256,0.05335372872708374,1,447,36218,2979,38750
30,44,38064.15825992513,0.3053797942673852,1,697,5667,1432,6402
31,61,50825.662448163224,0.10508513996445976,0,21,0,0,-21
32,52,21907.277257095004,0.048937029379278164,1,544,7189,1600,8245
33,40,20607.602091961722,0.16433993568372818,0,15,0,0,-15
34,51,20010.911075779273,0.17193682860465948,0,136,0,0,-136
35,31,28714.81747930671,0.023314270777429348,0,20,0,0,-20
36,21,20432.32687019047,0.004019252358498349,1,71,5448,1940,7317
37,53,26497.928396177107,0.3434251686751827,1,115,34326,3273,37484
38,44,24746.674612677154,0.014980555178689082,1,353,6093,1980,7720
39,32,29827.62252705814,0.11535789541241322,1,75,8035,1587,9547
40,29,20148.403658891944,0.12193428136293358,1,314,8326,1978,9990
41,19,40981.69512965256,0.007313008786966722,1,790,6957,3170,9337
42,45,24433.79986191505,0.018638426646017028,1,889,9224,1723,10058
43,44,25785.008726504795,0.0948634529954584,1,299,19908,3892,23501
44,60,21866.45071300901,0.23528600559152507,1,265,7677,1341,8753
45,32,98109.55613105952,0.133584254688443,1,907,10389,2117,11599
46,42,24511.90499429719,0.06807962256559127,1,809,5351,1849,6391
47,42,50357.278403521464,0.002528527276173601,1,400,7570,2586,9756
48,18,40611.12904963448,0.07275052825542204,0,24,0,0,-24
49,30,21231.90294308198,0.35163386726505563,1,295,6228,1467,7400
50,37,25914.60870324619,0.012370471332217565,1,21,6090,1506,7575
51,62,23159.531128205574,0.11385067637331688,1,139,5366,1465,6692
52,19,22313.188697432994,0.2620427193175858,1,164,6536,1906,8278
53,55,25597.81927120142,0.2380699479344096,1,580,5540,1794,6754
54,70,31101.055545584775,0.17496638027081288,1,1002,6741,1728,7467
55,60,41508.233124405524,0.03726341892358152,1,310,8631,1896,10217
56,38,21768.745139896702,0.06645271985602932,0,1,0,0,-1
57,20,22447.599541523832,0.027168107414572488,1,11,5619,2422,8030
58,44,37071.24541653876,0.05746837959725327,1,370,21661,1523,22814
59,65,21876.98946704624,0.32196647154153174,0,59,0,0,-59
60,33,20051.938582270464,0.4196919855572642,1,522,5654,2474,7606
61,49,39407.15650322217,0.1403844490361304,0,67,0,0,-67
62,24,21692.43364031037,0.22444732018600855,0,1,0,0,-1
63,32,22906.54962567916,0.11729126411780764,1,1551,7418,2315,8182
64,19,22978.60365972967,0.019269464836983954,1,283,7191,1660,8568
65,65,21374.59557132508,0.026715769190151846,0,7,0,0,-7
66,19,23308.73905629933,0.09661896870195447,1,119,8076,2953,10910
67,20,21874.866730506194,0.03196259528534417,1,934,8488,2413,9967
68,26,45125.76401281016,0.03336900211648681,1,70,12603,1646,14179
69,33,39476.414534087446,0.10501416851420363,0,32,0,0,-32
70,22,23305.11859933305,0.29641844241184434,1,137,6133,1347,7343
71,25,30442.104101540404,0.1326384804906775,1,624,5920,2067,7363
72,25,21057.20915939883,0.02898806650223079,1,339,5935,2233,7829
73,19,23853.83155908859,0.2778292977564921,1,73,5363,1368,6658
74,44,20295.79974029325,0.11613552573883607,0,68,0,0,-68
75,23,20994.06475848601,0.15811534895757465,1,549,6172,1366,6989
76,23,22799.01237124855,0.11276747197148092,1,185,5990,3449,9254
77,50,29435.55459120451,0.027038710928923917,1,402,9304,2001,10903
78,38,22007.43098162224,0.17081708990267183,1,627,5714,1565,6652
79,27,24691.133270967654,0.04089055620809186,1,1033,11137,1387,11491
80,22,21943.06419156459,0.06556561280041279,1,383,6093,1523,7233
81,52,20061.2218448729,0.1659315939147,1,205,31740,1571,33106
82,22,24406.83788153529,0.041840429532732586,1,357,16684,1573,17900
83,71,20434.932410573303,0.055448749351039835,0,179,0,0,-179
84,19,37100.414928376595,0.06476570982831767,1,298,11037,1348,12087
85,30,25205.914084535732,0.09482766943916986,1,1108,6350,1730,6972
86,31,20334.695129001986,0.42510589339797605,1,90,6049,1592,7551
87,27,26169.806214237327,0.04369224896412552,1,1063,8568,1428,8933
88,37,21053.424733351527,0.2558077595870347,1,825,5613,1744,6532
89,63,44909.786895330406,0.33472444728304246,1,929,12369,3769,15209
90,71,21334.427213933763,0.11455312737125996,1,1343,9118,1614,9389
91,61,35447.24041744322,0.047868652970050725,1,690,6532,3859,9701
92,20,24772.105342629457,0.008573602886544766,1,61,10014,2630,12583
93,23,21669.382188807136,0.018094307727840625,1,798,5710,1543,6455
94,37,33915.59620799138,0.10156432158782534,0,29,0,0,-29
95,28,20090.64847622189,0.022928747529547537,0,15,0,0,-15
96,61,51657.59781716032,0.19768742378093934,1,442,6122,1870,7550
97,47,20303.747149884304,0.2809536958009782,1,818,10145,1423,10750
98,52,23213.66654938269,0.1529268127707881,1,46,97020,1646,98620
99,53,24802.518766302386,0.0056135450409384845,1,84,5760,1368,7044
100,26,22920.89270481392,0.1962553984497516,1,97,7370,2090,9363
101,29,31450.819573989134,0.2877901861846159,0,51,0,0,-51
102,71,65469.576648508635,0.11367895152526462,1,135,6014,4319,10198
103,33,22653.799595587963,0.12408767353078556,1,891,8872,1358,9339
104,30,29709.028976749134,0.1560505069525393,1,37,7012,1478,8453
105,23,21715.30536885485,0.10291778814047116,1,571,15773,1775,16977
106,25,37176.42375653138,0.11932809396279233,0,9,0,0,-9
107,33,22393.660236015035,0.5430580868898044,1,317,5368,2231,7282
108,71,22567.93544780892,0.3174600061980734,0,37,0,0,-37
109,38,31115.168788650568,0.11170085192511989,1,290,11011,1363,12084
110,30,25256.679889671286,0.05079947773113657,1,688,5467,3309,8088
111,24,27925.15125002972,0.22738219703273577,0,300,0,0,-300
112,29,27873.019870867487,0.021125926475642796,1,515,10501,2244,12230
113,27,22091.27860874187,0.18750111347320805,1,1063,5767,3021,7725
114,23,29029.63457988279,0.0804808927973876,1,339,12894,1483,14038
115,75,20549.409993314413,0.040628386412684896,1,485,5470,1471,6456
116,27,21558.633495722373,0.08698839405394637,1,48,6624,1700,8276
117,25,68163.67932505408,0.01733786750952988,1,467,5805,2735,8073
118,20,20089.721783609075,0.01753022150057289,1,147,5802,1394,7049
119,30,20642.087616862693,0.026896758558347524,1,535,6925,1477,7867
120,24,33769.62030455347,0.19272029684239425,1,405,5876,12030,17501
121,41,24904.227145822162,0.06358174313006754,1,186,6364,2379,8557
122,36,48593.36044783101,0.03516814943265992,1,1064,5920,1443,6299
123,60,49117.383499812844,0.23612100079986875,1,964,8706,1698,9440
124,46,20689.958550393043,0.26498092703701526,1,79,9116,3860,12897
125,20,31787.093280086043,0.02308021739819809,1,300,15946,3322,18968
126,23,21539.696964936975,0.19568451520402988,0,142,0,0,-142
127,43,27054.234270146775,0.1419154839953681,0,7,0,0,-7
128,38,27395.13025869809,0.5190551852005093,1,1386,12224,4398,15236
129,47,25941.54743913797,0.010087810075306238,1,804,11668,2161,13025
130,57,44991.607531032096,0.08083456926390782,1,1667,5751,1338,5422
131,36,22578.486093129268,0.08769538798570345,1,261,6014,1406,7159
132,22,24066.0741231983,0.18288503552345264,1,1319,9886,1582,10149
133,34,22436.03429739662,0.190982955385426,1,1363,7515,1515,7667
134,55,22702.22394742785,0.2808985119138162,0,64,0,0,-64
135,56,22099.780477486158,0.34738985808201245,1,1000,5870,1395,6265
136,21,20235.950591935787,0.03744403726931679,1,1223,10490,1914,11181
137,59,38654.21141976849,0.08588673599803678,1,211,5526,1537,6852
138,32,21808.87379289117,0.08670177761445876,1,141,5902,2260,8021
139,70,20186.0111771636,0.25821824680563416,0,115,0,0,-115
140,36,45747.33012912077,0.11263440367215799,1,185,12740,2256,14811
141,24,20810.060620191565,0.1958699690120686,1,264,7475,1956,9167
142,20,38385.87396967977,0.1362195851995782,0,75,0,0,-75
143,21,22305.233561183813,0.2650946488882825,0,0,0,0,0
144,24,30958.60248278781,0.0009782391706978225,1,269,9052,1336,10119
145,73,25255.737454659964,0.09292903744006112,1,279,7131,1838,8690
146,75,53707.88997629259,0.4350474813146148,1,181,7775,1507,9101
147,20,60524.046858285845,0.14313511604937237,1,223,8199,2713,10689
148,70,31930.78128317925,0.13857672904094256,1,1987,6861,1345,6219
149,27,29214.298872452433,0.4850701912505336,1,355,8635,1997,10277
150,41,23034.062213253823,0.01152232855641023,1,282,6392,1612,7722
151,23,23349.541991528637,0.06805918016871872,1,21,8124,3420,11523
