ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,0,0,35,0,-35
1,1,0,71,0,-71
2,0,0,37,0,-37
3,0,0,58,0,-58
4,0,0,21,0,-21
5,0,0,37,0,-37
6,0,0,37,0,-37
7,1,1,91,1215,1124
8,0,0,56,0,-56
9,1,0,7,0,-7
10,1,0,41,0,-41
11,0,0,17,0,-17
12,0,0,68,0,-68
13,1,1,433,1594,1161
14,0,0,1,0,-1
15,1,1,377,1283,906
16,1,0,21,0,-21
17,1,1,654,1726,1072
18,1,1,153,1541,1388
19,0,0,39,0,-39
20,1,1,1280,1844,564
21,1,0,22,0,-22
22,1,0,151,0,-151
23,1,1,432,1611,1179
24,0,0,63,0,-63
25,0,0,423,0,-423
26,1,0,86,0,-86
27,1,1,707,2253,1546
28,1,1,387,1246,859
29,1,0,167,0,-167
30,0,0,10,0,-10
31,0,0,38,0,-38
32,0,0,15,0,-15
33,1,1,746,2337,1591
34,1,1,99,1203,1104
35,1,1,182,1408,1226
36,1,1,425,1232,807
37,0,0,26,0,-26
38,1,1,657,1263,606
39,0,0,130,0,-130
40,0,0,90,0,-90
41,1,1,363,1528,1165
42,1,1,603,1433,830
43,0,0,263,0,-263
44,1,1,1526,1524,-2
45,1,1,295,1272,977
46,1,1,453,1355,902
47,1,0,14,0,-14
48,1,0,4,0,-4
49,0,0,14,0,-14
50,0,0,121,0,-121
51,1,1,662,1623,961
52,1,0,17,0,-17
53,1,0,9,0,-9
54,1,0,0,0,0
55,0,0,71,0,-71
56,0,0,28,0,-28
57,1,1,285,1690,1405
58,0,0,48,0,-48
59,0,0,12,0,-12
60,1,1,256,1221,965
61,1,1,531,1216,685
62,1,0,7,0,-7
63,0,0,46,0,-46
64,0,0,32,0,-32
65,1,1,2195,1366,-829
66,0,0,31,0,-31
67,0,0,43,0,-43
68,1,1,226,1249,1023
69,0,0,68,0,-68
70,0,0,25,0,-25
71,0,0,36,0,-36
72,1,1,167,1756,1589
73,0,0,15,0,-15
74,1,1,231,4223,3992
75,1,1,238,1341,1103
76,1,0,20,0,-20
77,1,0,137,0,-137
78,1,0,20,0,-20
79,1,1,313,1688,1375
80,1,1,123,2402,2279
81,1,0,35,0,-35
82,0,0,15,0,-15
83,1,1,320,1256,936
84,1,1,283,1448,1165
85,1,0,7,0,-7
86,1,0,94,0,-94
87,0,0,13,0,-13
88,1,1,276,1537,1261
89,1,0,3,0,-3
90,1,1,674,1739,1065
91,0,0,16,0,-16
92,1,1,504,2876,2372
93,1,1,31,1470,1439
94,0,0,10,0,-10
95,1,1,314,1247,933
96,1,1,1276,1376,100
97,1,1,132,1262,1130
98,0,0,20,0,-20
99,1,0,45,0,-45
100,1,0,42,0,-42
101,1,0,57,0,-57
102,0,0,73,0,-73
103,0,0,85,0,-85
104,1,1,1056,1779,723
105,0,0,34,0,-34
106,1,1,709,1317,608
107,1,0,8,0,-8
108,0,0,40,0,-40
109,1,0,13,0,-13
110,1,0,41,0,-41
111,1,1,370,1218,848
112,0,0,44,0,-44
113,1,1,288,2092,1804
114,1,0,8,0,-8
115,1,0,14,0,-14
116,1,1,358,1215,857
117,0,0,3,0,-3
118,1,1,314,1501,1187
119,1,0,1,0,-1
120,1,1,188,1588,1400
121,1,0,64,0,-64
122,1,1,423,1816,1393
123,0,0,65,0,-65
124,1,0,44,0,-44
125,1,0,275,0,-275
126,1,1,820,1266,446
127,0,0,154,0,-154
128,1,0,43,0,-43
129,0,0,39,0,-39
130,0,0,44,0,-44
131,1,0,14,0,-14
132,1,1,1393,1527,134
133,1,0,60,0,-60
134,1,0,30,0,-30
135,0,0,52,0,-52
136,1,0,88,0,-88
137,0,0,13,0,-13
138,1,1,1761,1875,114
139,0,0,10,0,-10
140,1,0,41,0,-41
141,0,0,193,0,-193
142,1,0,24,0,-24
143,1,0,40,0,-40
144,0,0,136,0,-136
145,0,0,0,0,0
146,0,0,37,0,-37
147,1,1,259,1318,1059
148,1,1,173,1508,1335
149,1,0,72,0,-72
150,0,0,25,0,-25
151,1,0,43,0,-43
152,0,0,53,0,-53
153,0,0,3,0,-3
154,1,0,19,0,-19
155,1,0,25,0,-25
156,1,1,345,1289,944
157,0,0,13,0,-13
158,0,0,38,0,-38
159,1,0,95,0,-95
160,1,0,15,0,-15
161,1,1,792,1399,607
162,0,0,59,0,-59
163,1,0,61,0,-61
164,0,0,19,0,-19
165,1,1,1560,1420,-140
166,1,0,30,0,-30
167,1,1,111,1359,1248
168,1,0,40,0,-40
169,0,0,48,0,-48
170,1,1,548,1384,836
171,1,0,15,0,-15
172,1,0,19,0,-19
173,1,0,24,0,-24
174,1,1,260,1305,1045
175,1,0,6,0,-6
176,0,0,0,0,0
177,1,1,122,1304,1182
178,0,0,46,0,-46
179,1,1,210,1221,1011
180,1,0,0,0,0
181,0,0,189,0,-189
182,1,1,799,1442,643
183,0,0,117,0,-117
184,0,0,9,0,-9
185,0,0,109,0,-109
186,1,1,184,2094,1910
187,1,0,125,0,-125
188,0,0,27,0,-27
189,0,0,3,0,-3
190,1,1,168,1275,1107
191,0,0,20,0,-20
192,1,1,413,2283,1870
193,1,0,0,0,0
194,0,0,7,0,-7
195,1,1,599,1227,628
196,1,0,98,0,-98
197,1,1,723,1265,542
198,1,1,681,1623,942
199,0,0,55,0,-55
200,1,1,328,1551,1223
201,1,0,2,0,-2
202,1,0,34,0,-34
203,1,0,6,0,-6
204,0,0,13,0,-13
205,1,1,240,1696,1456
206,0,0,18,0,-18
207,1,1,1751,1623,-128
