ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
0,63,20772.430351698884,0.0016524207440040712,1,38,5403,2097,7462
1,42,27160.024112149993,0.2570689260639185,0,28,0,0,-28
2,70,41001.56958217153,0.3831963231957171,1,111,8974,2975,11838
3,51,21800.576614527512,0.2001463335492687,0,1,0,0,-1
4,23,20376.369179685655,0.23781824853546332,0,2,0,0,-2
5,28,21201.171046524138,0.2820415785839009,0,157,0,0,-157
6,45,23075.948664346834,0.18375958341271859,1,185,6883,1749,8447
7,57,32312.778373585275,0.055604819673277794,1,337,8757,1572,9992
8,39,22714.245832028028,0.11114259475518057,1,364,5788,1838,7262
9,37,28428.182074562075,0.34080048650113715,0,31,0,0,-31
10,70,20054.960366205403,0.21222713043548164,1,146,7958,1443,9255
11,31,24062.844060683525,0.2918099211628957,0,5,0,0,-5
12,31,21315.032931276502,0.25569118201181973,1,349,8101,1511,9263
13,36,21301.715673264524,0.05182562796310149,1,364,8338,2064,10038
14,36,32819.60235254537,0.03538950636314004,1,236,7627,1536,8927
15,20,49024.08440550342,0.039919430861475064,1,1357,5493,1814,5950
16,30,22856.1555044097,0.06286306140572769,1,493,5823,3815,9145
17,24,21169.72229913332,0.05365830067043112,1,349,9796,1554,11001
18,67,29572.026182185433,0.3818818894482944,0,10,0,0,-10
19,28,23471.698103153947,0.15589209503808663,1,521,5249,2690,7418
20,50,28875.859471349355,0.08801333850086623,0,40,0,0,-40
21,18,48997.766861460936,0.5220172607103538,0,21,0,0,-21
22,60,25975.47652969816,0.3734497162817533,1,922,11056,1861,11995
23,44,28558.54922521117,0.3416398931790085,1,836,6228,2365,7757
24,29,42269.15169985121,0.11299130624886529,1,744,7328,1686,8270
25,21,65073.87784565142,0.03908275470945001,0,51,0,0,-51
26,52,24388.528670546333,0.5939472092657693,1,1412,5708,1474,5770
27,28,25672.424950851728,0.22807802769493835,1,339,5283,1940,6884
28,28,21140.226091330882,0.0750436847260235,1,1838,7680,1745,7587
